Lot,HWODescription,HWOApprovedAmount,SalesTax,AdminFee,ChargeAmount,Specialties,ISO,Country,Locality,Postcode,Street,Latitude,Longitude,Region
16,"access warrant''**** public parts: at 1st sty public hall , install window guard complete.",132.48,11.76,66.24,210.48,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Ezab Arab al Tahawiya,44888,"Cairo, Al Ismaeileya Agricultural Road",30.509987,31.714681,Al Sharqia Governorate
40,"as per requirement of h.p.d. window guard program and in accordance with the new york city health code section 24 rcny chapter 12. at public hall,",184.28,16.35,92.14,292.77,,EG,Egypt,Izbat al Hakim,44661,Al Sheikh Abou Hammad Street,30.509689,31.660398,Al Sharqia Governorate
101,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,144.73,12.84,36.18,193.75,,EG,Egypt,Izbat Suwaylim,44621,"Cairo, Belbes Desert Road",30.30214,31.487925,Al Sharqia Governorate
65,apt. 4d install window guards throughout apt.,97.18,8.62,48.59,154.39,,EG,Egypt,Kafr Farag Girgis,44692,Wabour Al Nour Street,30.511435,31.335199,Al Sharqia Governorate
53,(apt #25) at bathroom: reinstall (1) existing window guard. at kitchen and livingroom: install (2) window stops only in each room. remove all work,222.05,18.6,33.31,273.96,,EG,Egypt,Kafr Saqr,44689,Al Markz Street,30.891351,31.653937,Al Sharqia Governorate
16,"doh dws clean only: room #1, building entrance foyer from street. room #2, public hallway from building entrance foyer.room #3, apartment hallway (ent",350.49,30.23,52.57,433.29,,EG,Egypt,Minshat Safwat,44769,Regional Ring Road,30.64968,31.456509,Al Sharqia Governorate
11,apt. #4c: repair leaks at showerbody at tub in bathroom.,169.52,14.62,25.43,209.57,"Lay grass or sod, Lay artificial turf, Plant trees or shrubs",EG,Egypt,Minya Al-Qamh,44692,Al Masna' Street,30.509931,31.340162,Al Sharqia Governorate
18,supply (4) sleeping bags.,132.87,11.46,19.93,164.26,,EG,Egypt,Minya Al-Qamh,44692,Al Mokhtar Street,30.510073,31.345017,Al Sharqia Governorate
21,notes: light pilot on gas boiler omo restore to p.w.o.,88.61,7.42,13.29,109.32,"Repairs, Installation, Maintenance, Assembly, Painting",EG,Egypt,Minya Al-Qamh,44692,Al Rashah Street,30.509987,31.350015,Al Sharqia Governorate
31,at 1st story public hall: install one-way srews and stops at south window. remove all work related debris.,122.61,10.58,18.39,151.58,,EG,Egypt,Mit Yazid,44692,Al Zagazig Al Gadida Street,30.510158,31.355128,Al Sharqia Governorate
37,public area ) provide / install five (5) ballusters at 2nd story.and 1 balluster at beginning of stair from 2nd story to 3rd.,254.18,21.92,38.13,314.23,"Repairs, Installation, Assembly, Painting",EG,Egypt,Abu Qir,21913,Abou Qir Street,31.314857,30.060508,Alexandria Governorate
1,(local law# 1 violation - clean only). thoroughly re-clean the following areas as per new york city administrative code ï¿½27-2506.11 and as noted in th,245.45,21.17,36.82,303.44,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Abu Qir,21913,Al Moustafa Street,31.315124,30.065067,Alexandria Governorate
8,at apt. 2r/bsmt - remove obstructions and unclog the kitchen sink. repair defects in the sink drain line. locate and adjust hot water heater thermos,0,0,0,0,"Installation, Maintenance, Assembly, Painting",EG,Egypt,Abu Qir,21913,Masnaa Al Intag Al Harby Street,31.317624,30.054721,Alexandria Governorate
1,"apartment #32 install window guard complete, one (1) in bathroom , two (2) in bedroom and one (1) in kitchen. re-install two window guards in dinn",48.42,4.18,15,67.6,"Laminate, Linoleum, Vinyl sheet, Luxury vinyl flooring, Engineered hardwood, Solid wood, Tile, Concrete, Carpet",EG,Egypt,Abu Qir,21913,Shokry Al Qawatli Street,31.313643,30.067883,Alexandria Governorate
3,"(public area) at 3rd story public hall, remove free standing 12 sec. radiator from building.",81.76,6.85,12.26,100.87,"Washer or dryer, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Alexandria,21524,Al Geish Road,31.212476,29.917033,Alexandria Governorate
292,apt#5c: install missing window guard and stops at bathroom window. total= 1. remove work related debris.,75.07,6.66,18.77,100.5,,EG,Egypt,Alexandria,21524,Al Mouhandes Hussein Ramadan Street,31.215042,29.925053,Alexandria Governorate
19,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,1010.35,87.14,75,1172.49,,EG,Egypt,Alexandria,21554,Street 50,31.215003,29.940159,Alexandria Governorate
50,local law #1 violation: as per hpd's abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new yor,0,0,0,0,PLUMB,EG,Egypt,Alexandria,21556,Al Geish Road,31.21012,29.910343,Alexandria Governorate
118,"at 113-15 atlantic ave contact-347-238-0347 at 4th floor, remove illegal slide bolt from 4th floor hallway door. remove all work related de",36.31,3.22,18.16,57.69,,EG,Egypt,Alexandria,21561,Gamal Abd Al Naser Street,31.214063,29.935894,Alexandria Governorate
5,"public hall....................cap uncapped hut-off valve at 1sty public hall. at the time of this invitation to bid, it is not anticipated that thi",28.08,2.49,14.04,44.61,,EG,Egypt,Alexandria,21561,Ibn Al Barizy Street,31.214857,29.929045,Alexandria Governorate
1,doh clean and dust-wipe only: rm#1- apartment foyer from 5th floor public hallway and adjacent sample as per hpd's lead abatement requirement con,192.43,17.08,76.97,286.48,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Alexandria,21918,Al Hekma Street,31.214906,29.96996,Alexandria Governorate
15,at bsmt: **hot water heater** adjust the temperature on the hwh to a safer level. remove all work related debris. non swp. at the time of this,96.84,8.59,24.21,129.64,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Alexandria,21918,Kolleyet Al Zeraah Street,31.214715,29.979897,Alexandria Governorate
13,"apt.#1r: bathroom: install window guard and stop; kitchen, dining room, and bedroom: re-install window guards and stops. total of (6)",0,0,0,0,,EG,Egypt,Alexandria,21922,Street 2,31.215041,29.994921,Alexandria Governorate
25,"outside gate; remove the illegal double cylinder key operated lock. at the time of this invitation to bid, it is not anticipated that this work wil",48.87,4.34,19.55,72.76,PLUMB,EG,Egypt,Alexandria,26215,14th May Street,31.213463,29.949547,Alexandria Governorate
96,"apt #2) at bedroom: re-ajust one way screws and install window stops, and at bathroom install (1) window stop. ''remove all work related debris''.",61.53,5.15,9.23,75.91,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Alexandria,26215,Street 38,31.217268,29.955452,Alexandria Governorate
25,"per demo, provide access for new york environmental for asbestos investigation and re- seal.",129.57,11.5,51.83,192.9,"Doors, Windows, Walls , Walls , Gutters, Cabinets, Shelving, Molding or baseboards, Flooring, Tiling, Appliances, Plumbing, Electrical, Lighting, Wall hangings, Furniture",EG,Egypt,Dauwar Masri,23719,"Matar Borg Al Arab, Al Mintaqa Al Senaaya Road",30.893835,29.694129,Alexandria Governorate
53,(local law#1 - clean only) thoroughly re-clean the following areas as per new york city administration code 27-2506.11 and as noted in the scope of wo,140.71,12.49,70.36,223.56,"Standard, French or double, Sliding glass, Sliding pocket",EG,Egypt,Ezab Nubar,21947,Madrasa Nasim Street,31.214207,30.034768,Alexandria Governorate
22,"apt. #7 , remove tub stoppage.",25.18,2.23,12.59,40,"Washer or dryer, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Izbat al Shaykh al Maraghi,21945,Extension Al Shahid Abd Al Moneim Riyad Street,31.21496,30.015053,Alexandria Governorate
20,apartment#5d; repair leaky/ defective water supply pipe at toilet in bathroom.,163.82,13.72,24.57,202.11,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Izbat al Shaykh al Maraghi,21945,Street 8,31.214991,30.020024,Alexandria Governorate
73,apt. #h33) at bathroom reinstall window guard complete. at kitchen supply and install window stop and one way 1 1/2 screw at window.,95.36,7.99,14.3,117.65,"Window cleaning , Fridge cleaning, Oven cleaning",EG,Egypt,Izbat al Shaykh al Maraghi,21947,Al Salam Mosque Street,31.214966,30.02509,Alexandria Governorate
54,public hall - 1.5 & 2.5 floor - properly repair and reinstall defective window guards at 1.5 & 2.5 floor public hall stair windows - (total 3 nos ),50.6,4.49,7.59,62.68,"Window cleaning , Fridge cleaning, Oven cleaning",EG,Egypt,Abu Simbel,81525,"Aswan, Abou Sambal Road",22.669744,31.484027,Assouan
50,"apt #2h) at living room : re-install (2) existing window guards and install stops, and at kitchen, bedroom#1 and bathroom replace (1 each rooms) defec",180.99,15.16,27.15,223.3,"Window cleaning , Fridge cleaning, Oven cleaning",EG,Egypt,Aswan,81514,"Al Sad Al Aali, Aswan Road",24.034834,32.921226,Assouan
46,at apartment #3h living room: install one way screws at window guard kitchen replace improperly installed window guard with proper window guard with,52.66,4.67,26.33,83.66,"Two-story building, Three-story building",EG,Egypt,Aswan,81514,"Aswan, Al Sad Al Aali Road",24.034981,32.939101,Assouan
48,at apt # 4: adjust the mixing valve to provide adequate (temperature = 120 f) hot water- fixtures - in the entire apt. at the time of this invit,0,0,0,0,,EG,Egypt,Aswan,81515,"Kima, Al Shalal Road",24.054984,32.919847,Assouan
117,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,117.21,10.11,17.58,144.9,"Two-story building, Three-story building",EG,Egypt,Aswan,81531,"Luxor, Aswan Western Road",24.037062,32.847196,Assouan
70,apt # 10 bathroom: install 1 window guard and stops.,79.62,6.87,15,101.49,,EG,Egypt,Naj al Hawsh,81638,Aswan Western Agricultural Road,24.668888,32.926026,Assouan
104,local law #1 violation : as per hpd's abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new yor,192.13,16.57,28.82,237.52,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Sahara City,81545,"Aswan, Abou Sambal Road",23.673699,32.437647,Assouan
29,apt. # 4c location - kitchen properly repair the broken / leaky wasteline at kitchen sink in the kitchen. at the time of this invitation to b,24.21,2.15,6.05,32.41,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove",EG,Egypt,Shash Village,81531,25,24.034742,32.870092,Assouan
69,local law #1 violation : as per hpd's abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new yor,1262.89,108.92,75,1446.81,"Washer or dryer, Refrigerator, Dishwasher",EG,Egypt,�������,81638,"Cairo, Aswan Eastern Desert Road",24.669499,32.94741,Assouan
55,apartment #3r install one (1) missing stops in bathroom install one (1) window guard stops install one (1) missing stops in kitchen,86.84,7.49,15,109.33,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Al Busayli,22748,Gammal Abd Al Naser Street,31.310637,30.351131,Beheira Governorate
29,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,425.7,35.65,63.86,525.21,"Refrigerator, Oven or stove",EG,Egypt,Al Nubaria,22773,"Side Cairo, Alexandria Desert Road",30.653639,30.097545,Beheira Governorate
74,"at public hall: install (2) stops and screws at 3rd,10th,11th and 12th stories, install (9) stops and screws at 7th story and install (1) window guar",139.92,11.72,20.99,172.63,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove",EG,Egypt,Al-Mahmudiya,22718,Gesr Al Bahr Street,31.214571,30.520735,Beheira Governorate
14,"apt#c6, repair total (1) existing window guard complete as follows bed room ne1 (1).",15.6,1.38,6.24,23.22,,EG,Egypt,Hawsh Isa,22728,"Housh Eissa, Al Dalangat Road",30.888831,30.281284,Beheira Governorate
14,apartment # 2b install one (1) one way screws and stops in front bedroom.,195.4,16.85,29.31,241.56,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Idku,22748,Street 2,31.31499,30.294989,Beheira Governorate
3,"apartment at bathroom: remove all obstructions from wash basin, repair defects at wasteline and restore to proper working order. remove al",65.52,5.81,32.76,104.09,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Itay el-Barud,22951,Al Bahr Street,30.890329,30.655252,Beheira Governorate
45,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,535.83,47.55,133.96,717.34,"Furniture assembly and disassembly, Packing, Equipment moving, Piano moving, Safe or security box moving",EG,Egypt,Itay el-Barud,22951,Al Sayed Shokr Street,30.889971,30.664948,Beheira Governorate
66,apt 4b: repair window guards throughout apartment.,52.5,4.66,21,78.16,,EG,Egypt,Itay el-Barud,22951,Gammal Abd Al Naser Street,30.889968,30.660013,Beheira Governorate
25,code vacate 5/11/16,190.47,16.9,95.24,302.61,,EG,Egypt,Izbat al Muhit,22748,Al Masraf Al Khairy Street,31.31497,30.370008,Beheira Governorate
44,abate the nuisance consisting of an uncaped gas line at east wall in the kitchen located at apt#3r,5.81,0.52,2.91,9.24,"Furniture assembly and disassembly, Packing, Equipment moving, Piano moving, Safe or security box moving, Pool table moving",EG,Egypt,Izbat al Muhit,22748,Madrab Al Arz Street,31.316971,30.379468,Beheira Governorate
1,apt #4 install / repair window guards throughout entire apt remove all work related debris,0,0,0,0,"Furniture assembly and disassembly, Packing, Storage, Equipment moving, Piano moving, Automobile moving",EG,Egypt,Izbat Kawm al Kalakh,22748,International Coastal Road,31.311637,30.278086,Beheira Governorate
93,"at public hall -north (center), 2nd story -------- repair (2) window guards.",90.22,8.01,36.09,134.32,,EG,Egypt,Wadi el Natroun,22856,"Side Cairo, Alexandria Desert Road",30.513375,30.239408,Beheira Governorate
44,as per requirement of h.p.d. window guard program and in accordance with the new york city health code section 24 rcny chapter 12. at entire apt#:,8.23,0.73,4.12,13.08,,EG,Egypt,Atf Ifwah,62951,Saad Zaghloul Street,29.374798,31.198859,Beni Suef Governorate
67,at apt # 4 >>>>>>>>>>> at apt entrance door >>> properly replace the broken/ defective mortise lock.,160.35,14.23,80.18,254.76,"Furniture assembly and disassembly, Packing",EG,Egypt,Beni Suef,11511,"Korimat, Zaafarana Road",29.09986,31.428073,Beni Suef Governorate
67,"apt #2f) at bathroom : install (1) window guard and stops, at kitchen, living room, and small bedroom : replace (1 each rooms) defective window guard",291.31,24.4,43.7,359.41,,EG,Egypt,Beni Suef,12959,Cairo Asyout Desert Road,29.615005,31.410278,Beni Suef Governorate
46,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,1017.71,85.23,152.66,1255.6,,EG,Egypt,Beni Suef,62514,Riyad Street,29.095018,31.100137,Beni Suef Governorate
10,apt #5c) at bathroom : clear the obstructed vanity drain. ''remove all work related debris''.,176.09,14.75,26.41,217.25,,EG,Egypt,Beni Suef,62515,Masraf Ashmant Road,29.095013,31.109978,Beni Suef Governorate
47,local law #1 violation : as per hpd's abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new yor,500.11,43.13,75,618.24,,EG,Egypt,Beni Suef,62515,Ring Road,29.094124,31.104822,Beni Suef Governorate
4,"(apt #12a) at kitchen, bathroom and bedroom (2): install (1) window guard complete to each location. at bedroom (1): install (2) window guards com",24.21,2.03,3.63,29.87,,EG,Egypt,Beni Suef,62747,Ring Road,29.094707,31.09511,Beni Suef Governorate
25,local law # 1 violation: as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½ 27-2056.11 an,0,0,0,0,,EG,Egypt,Ihnasya al Madinah,62631,Gammal Abd Al Naser Street,29.094318,30.955382,Beni Suef Governorate
17,at apt. 5fw in the livingroom electric steam radiator: bleed (drain) radiator. restore to proper working order. note: all other radiators in th,20.34,1.81,10.17,32.32,,EG,Egypt,Ihnasya al Madinah,62631,Madrasa Abou Zid Al Abtda'yh Street,29.095095,30.96487,Beni Suef Governorate
10,"clean & dust wipe only: stairs from 2nd floor public hallway to 3rd floor public hallway-floor 3rd floor public hallway from stairs-floor, stairs",0,0,0,0,,EG,Egypt,Ihnasya al Madinah,62631,Masr W Al Sudan Street,29.09495,30.940299,Beni Suef Governorate
43,"apartment #2r remove two(2) window guards in kitchen and reinstall, add stops. install one (1) window guard complete in bathroom.",177.73,15.33,26.66,219.72,"Furniture assembly and disassembly, Packing, Storage, Equipment moving, Piano moving, Safe or security box moving, Pool table moving, Automobile moving",EG,Egypt,Ihnasya al Madinah,62631,Masraf Gawhar Street,29.094642,30.945626,Beni Suef Governorate
48,erp installed slide bolts and padlocks,187.29,16.62,74.92,278.83,"Furniture assembly and disassembly, Packing, Equipment moving, Piano moving",EG,Egypt,Nazlet Abu Silim,62515,Sherif Basha Road,29.095732,31.128979,Beni Suef Governorate
75,"apt #d1) at bedroom#1, bedroom#2, kitchen and bathroom : installed (1 each rooms) window gurd. ''remove all work related debris''.",192.03,16.08,28.8,236.91,,EG,Egypt,Ras Gharib,84715,"Ra's Ghareb, Al Sheikh Fadl Road",28.279317,31.911039,Beni Suef Governorate
57,local law # 1 violation: as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½ 27-2056.11 an,0,0,0,0,,EG,Egypt,Sharahi,62631,Teraa Sharhy Street,29.094221,30.950511,Beni Suef Governorate
5,apt# 1a @entire apt: supply and install 03 (three) window guards complete to the entire apt. ''remove all work related debris''.,99.88,8.36,14.98,123.22,,EG,Egypt,Al Hasayina,35651,Teraa Al Bohiah Al Bahareya Street,30.889508,31.485192,Dakahlia Governorate
32,ll- (clean only) thoroughly re-clean the following areas as per new york city health code section 173.14 and as noted in the scope of work pursuant to,71.42,6.34,35.71,113.47,,EG,Egypt,Az Zarqa,34724,Al Mansoura Street,31.214788,31.64524,Dakahlia Governorate
4,apt 1r) at boiler room : adjust scalding hot water to the proper temperature. at bedroom replace (1) radiator valve. ''remove all work related debris,127.58,11,19.14,157.72,,EG,Egypt,Bilqas,35631,Al Bahr Al Gadid Street,31.215,31.345082,Dakahlia Governorate
66,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative,376.22,33.39,150.49,560.1,,EG,Egypt,Bilqas,35631,Al Teraa Street,31.214993,31.349954,Dakahlia Governorate
34,"apt 2l ) at kitchen and bedroom, install window guard complete",147.09,12.32,22.06,181.47,,EG,Egypt,Bilqas,35631,Awlad Omar Street,31.215021,31.354981,Dakahlia Governorate
16,apt#: 35. remove the illegal fasteniing padlock at bulkhead door at public hall on the 6th floor.,48.42,4.3,12.11,64.83,,EG,Egypt,Bilqas,35631,Street 60,31.21504,31.360024,Dakahlia Governorate
256,"apt#1g: install missing w/g & stops and also, repair w/g&stops at livingroom windows.",69.49,6.17,10.42,86.08,"Repairs, Installation, Maintenance, Assembly, Painting",EG,Egypt,Bilqas,35631,Street 7,31.215001,31.370001,Dakahlia Governorate
20,installed 1 windowguard in 1st bedroom and installed 1 windowguard in 2nd bedroom,128.81,11.43,32.2,172.44,"Drywall, Brick, concrete, or stone, Plaster, Wood",EG,Egypt,El Senbellawein City,35651,Al Zouhera Street,30.890266,31.450045,Dakahlia Governorate
30,"in apt # 2f install new flex line at kitchen stove including new gas cocks. at the time of this invitation to bid, it is not anticipated that this",96.84,8.59,38.74,144.17,"Standard, French or double, Sliding glass, Sliding pocket, Barn, Folding",EG,Egypt,Izbat Abu Laban,35651,Abd Al Moneim Riyad Street,30.889441,31.469853,Dakahlia Governorate
44,apartment 1l: install one window guard on the left window in the front bed room. remove all work related debris''. contractor must sign and ret,108.77,9.65,27.19,145.61,"Standard, French or double, Sliding glass, Sliding pocket, Barn, Folding",EG,Egypt,Izbat Abu Laban,35651,Street 3,30.889989,31.465007,Dakahlia Governorate
54,apt# 2b replace defective mortise lock to apt entrance door rear.,195.94,16.9,29.39,242.23,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove",EG,Egypt,Izbat Hasan Kasibah,35661,"Damietta, Sahrbin Road",31.215069,31.569939,Dakahlia Governorate
14,doh clean and dust wipe only in the following areas: 1) room #1 apartment entrance from public hallway 2) room # 4 kitchen 3) room #6 bat,133.54,11.52,20.03,165.09,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove",EG,Egypt,Mit al Khawli Abd Allah,34724,Kafr Al Myasarh Road,31.214701,31.635828,Dakahlia Governorate
9,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative,0,0,0,0,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove",EG,Egypt,Noub,35651,"Aga, Al Senbilawin Road",30.889865,31.43995,Dakahlia Governorate
5,apt. 3r : supply and install a new steam radiator shut-off and new air valve at the kitchen radiator. at the time of this invitation to bid,82.05,7.28,20.51,109.84,Refrigerator,EG,Egypt,Al Atawi,34612,Al Shahid Rashad Abou Taha Street,31.320666,31.79193,Damietta Governorate
8,public area : at basement to 1st story public hall stairs : install (4) baluster. ''remove all work related debris''.,151.45,12.68,22.72,186.85,,EG,Egypt,Al Roda,34612,Moustawdaa Asal Street,31.314831,31.764802,Damietta Governorate
22,rm # 1 vestibule from front porch rm # 2 entrance foyer from vestibule rm # 4 stairs to 2nd floor from 1st floor hallway,0,0,0,0,"Washer or dryer, Dishwasher, Oven or stove",EG,Egypt,Damietta,34612,"Al Gamalia, Damietta Road",31.316218,31.808365,Damietta Governorate
42,public area: 1st floor install 6 balasters @ stairs.,134.85,11.63,20.23,166.71,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Kafr al Arab,34611,Al Cornish Street,31.315665,31.699414,Damietta Governorate
75,apt #f5) at kitchen cabinet : replace glass. ''remove all work related debris''.,40.19,3.37,6.03,49.59,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Kafr al Arab,34611,"Damietta, Al Mansoura Agricultural Road",31.314956,31.710094,Damietta Governorate
19,"apt 3w) at kitchen, bathroom, livingroom, and bedroom install stops",265.48,22.9,39.82,328.2,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,Kafr al Arab,34611,Street 4,31.315289,31.715066,Damietta Governorate
21,seal all accessible opening to illegal cellar apartment. remove all work related debris.,0,0,0,0,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Kafr al Arab,34716,Al Madares Street,31.314977,31.674895,Damietta Governorate
62,at 1st floor: install (1) window guard.,60.63,5.08,9.09,74.8,"Repairs, Installation, Maintenance, Assembly, Painting, Cleaning",EG,Egypt,Abu Ksah,63611,Al Markz Street,29.373828,30.691163,Faiyum Governorate
42,apt. #2b) kitchen and bathroom provide and install window guard complete total of 2,0,0,0,0,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove",EG,Egypt,Ezbet Muhammad Gad,63748,"Cairo, Al Fayoum Desert Road",29.374748,30.867125,Faiyum Governorate
16,l/l-1 (clean only) thoroughly re-clean the following areas as per new york city health code section 173.14 and as noted in the scope of work pursuant,134.77,11.96,33.69,180.42,"Repairs, Installation, Maintenance, Assembly, Painting",EG,Egypt,10th of Ramadan City,44629,Asad Allah Street,30.299746,31.755107,Al Sharqia Governorate
16,local law #1 violation : as per attached scope of work thoroughly remove all lead violations as per new york city administrative code ï¿½27-2056.11 and,0,0,0,0,"Repairs, Installation, Maintenance, Assembly, Painting",EG,Egypt,10th of Ramadan City,44629,Belbes - 10th of Ramadan Road,30.297967,31.677971,Al Sharqia Governorate
18,doh clean & dust wipe only: rm # 2 bathroom from first room rm # 3 kitchen from first room rm # 3 kitchen from first room,0,0,0,0,"Furniture assembly and disassembly, Packing, Storage, Equipment moving, Piano moving, Safe or security box moving, Pool table moving, Automobile moving",EG,Egypt,10th of Ramadan City,44629,Mohamed Hafez Street,30.299745,31.744319,Al Sharqia Governorate
89,apt.10: remove window guard from fire escape window. install window guard in room north west-4 room.with one way srews and two stops.,48.42,4.3,7.26,59.98,,EG,Egypt,10th of Ramadan City,44629,Omar Ibn Abd Al Aziz Street,30.299877,31.740031,Al Sharqia Governorate
56,l/l-1 ( clean only ) thoroughly re-clean the following areas as per new york city health code section 173.14 and as noted in the scope of work pursuan,199.36,17.19,29.9,246.45,"Window cleaning , Fridge cleaning, Oven cleaning, Laundry",EG,Egypt,10th of Ramadan City,44629,Omar Ibn Al Khatab Street,30.300369,31.729908,Al Sharqia Governorate
76,"public area: repair ,reset window guard, stops and screws., one(1) at 1-1/2 sty, one (1) at 2-1/2sty and one (1) at 4-1/2 story.",99.12,8.55,15,122.67,"Window cleaning , Fridge cleaning, Oven cleaning, Laundry",EG,Egypt,10th of Ramadan City,44629,Othman Ibn Affan Street,30.29766,31.697372,Al Sharqia Governorate
30,"apt 53f:, provide and install / repair window guards throughout apartment. call james for access 347.935.7511",0,0,0,0,,EG,Egypt,10th of Ramadan City,44629,Masr Al Nour Road,30.297831,31.685978,Al Sharqia Governorate
